acc,f1_macro,f1_weighted,precision_macro,recall_macro,pr_auc,roc_auc,fpr,confusion,per_class_recall,model,task,test_set,train_s,n_train
0.92190229797211,0.8235724384294612,0.9117469910449729,0.9546256712624435,0.7649425528080421,0.9901466757294128,0.9982885078975273,0.0005962677272362689,"[[660383, 394], [61429, 69405]]","{'Normal': np.float64(0.9994037322727637), 'Attack': np.float64(0.5304813733433206)}",VoteEns,unified_binary,tow,85.5,500000
0.9400918592415859,0.4845604885992787,0.9110627412846144,0.47004592962079295,0.5,0.07072597821918883,0.5527702249565128,0.0,"[[678108, 0], [43213, 0]]","{'Normal': np.float64(1.0), 'Attack': np.float64(0.0)}",VoteEns,unified_binary,someip,85.5,500000
0.8372458189691654,0.4731184207209266,0.7663431041734691,0.853929825924818,0.5086945897813087,0.6592133285250659,0.6274766265904319,0.0005266527133965014,"[[660429, 348], [128490, 2344]]","{'Normal': np.float64(0.9994733472866035), 'Attack': np.float64(0.01791583227601388)}",StackEns,unified_binary,tow,195.3,500000
0.9400918592415859,0.4845604885992787,0.9110627412846144,0.47004592962079295,0.5,0.05919167477615048,0.49369748256250634,0.0,"[[678108, 0], [43213, 0]]","{'Normal': np.float64(1.0), 'Attack': np.float64(0.0)}",StackEns,unified_binary,someip,195.3,500000
0.9072397932823066,0.8269137821807697,0.9058500673298161,0.8372356717733787,0.8176089263129628,0.7663784908368501,0.9019605986342254,0.04850350420792491,"[[628727, 32050], [41380, 89454]]","{'Normal': np.float64(0.9514964957920751), 'Attack': np.float64(0.6837213568338505)}",MLP,unified_binary,tow,,500000
0.9400918592415859,0.4845604885992787,0.9110627412846144,0.47004592962079295,0.5,0.060939370767810946,0.5045645912278556,0.0,"[[678108, 0], [43213, 0]]","{'Normal': np.float64(1.0), 'Attack': np.float64(0.0)}",MLP,unified_binary,someip,,500000
0.9371067355051913,0.7939504318174203,0.9124797493795044,0.8013684412171308,0.7878500245429048,0.8431525856551044,0.9676640698234019,,"[[657708, 1697, 0, 0, 948, 424, 0, 0, 0, 0], [3280, 13682, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 26013, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 16809, 0, 0, 0, 0, 0, 0], [41203, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2235, 0, 0, 0, 0, 27612, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9953554678809946), 'F_I': np.float64(0.8066265770545926), 'P_I': np.float64(1.0), 'M_F': np.float64(1.0), 'C_D': np.float64(0.0), 'C_R': np.float64(0.9251181023218414)}",LR,unified_multi,tow,30.9,500000
0.9400918592415859,0.19382419543971147,0.9110627412846144,0.18801837184831718,0.2,0.20614138180977054,0.5927775128037414,,"[[678108, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8112, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8353, 0, 0, 0, 0, 0, 0, 0, 0, 0], [13374, 0, 0, 0, 0, 0, 0, 0, 0, 0], [13374, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(1.0), 'F_I': nan, 'P_I': nan, 'M_F': nan, 'C_D': nan, 'C_R': nan, 'EoE': np.float64(0.0), 'EoV': np.float64(0.0), 'MissReq': np.float64(0.0), 'MissResp': np.float64(0.0)}",LR,unified_multi,someip,30.9,500000
0.9162934825311927,0.6468264848637046,0.882309726770694,0.78860837503308,0.6266826128277202,0.9270022366550398,0.9962085231551439,,"[[660527, 195, 0, 0, 0, 55, 0, 0, 0, 0], [16042, 920, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 26013, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 16809, 0, 0, 0, 0, 0, 0], [41203, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8768, 0, 0, 0, 0, 21079, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9996216575334795), 'F_I': np.float64(0.05423888692371183), 'P_I': np.float64(1.0), 'M_F': np.float64(1.0), 'C_D': np.float64(0.0), 'C_R': np.float64(0.70623513250913)}",RF,unified_multi,tow,74.6,500000
0.32410119766373086,0.14408129738563566,0.4569643200692331,0.2161990283708294,0.3366588616371075,0.2166699061760619,0.6709654803700879,,"[[219377, 0, 0, 0, 0, 0, 42574, 139005, 153877, 123275], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3240, 0, 0, 0, 0, 0, 2329, 979, 856, 708], [2621, 0, 0, 0, 0, 0, 164, 3778, 1079, 711], [3064, 0, 0, 0, 0, 0, 148, 1865, 4606, 3691], [3064, 0, 0, 0, 0, 0, 148, 1865, 4606, 3691]]","{'Normal': np.float64(0.32351336365298744), 'F_I': nan, 'P_I': nan, 'M_F': nan, 'C_D': nan, 'C_R': nan, 'EoE': np.float64(0.28710552268244577), 'EoV': np.float64(0.4522925894888064), 'MissReq': np.float64(0.34439958127710485), 'MissResp': np.float64(0.2759832510841932)}",RF,unified_multi,someip,74.6,500000
